Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
1.0,17795.0,1387.0,Contract,31.0,Married,0.0,732.0,4.0,0.32,12501.0,13204.0,37833.0,48.0,Business,Urban,Graduate,Female,Self,No
2.0,2860.0,2679.0,Salaried,41.0,Single,0.0,766.0,2.0,0.12,12935.0,8394.0,38336.0,12.0,Home,Semiurban,Graduate,Female,Private,Yes
3.0,7390.0,2106.0,Salaried,55.0,Married,1.0,629.0,,0.37,16569.0,34593.0,22324.0,84.0,Home,Semiurban,Graduate,Male,Private,No
4.0,13964.0,8173.0,Self-employed,32.0,Single,1.0,607.0,1.0,0.27,6973.0,42964.0,,84.0,Home,Rural,Not Graduate,Male,MNC,No
5.0,13284.0,4223.0,Salaried,46.0,Single,2.0,632.0,3.0,0.34,10909.0,12652.0,29191.0,60.0,Home,Urban,Graduate,,Private,No
,8265.0,,Self-employed,39.0,Married,0.0,614.0,2.0,0.41,18752.0,34740.0,4358.0,72.0,Personal,Semiurban,Graduate,Male,Self,No
7.0,18850.0,2768.0,Salaried,27.0,Married,1.0,618.0,2.0,0.53,4926.0,45036.0,3071.0,24.0,Home,Urban,Graduate,Male,Private,No
8.0,,3186.0,Unemployed,27.0,Married,1.0,677.0,3.0,0.43,2976.0,1443.0,20207.0,24.0,Home,Rural,Graduate,Male,Private,No
9.0,16423.0,2573.0,Salaried,46.0,Married,0.0,600.0,3.0,0.32,9056.0,24903.0,24491.0,72.0,Home,Rural,Graduate,Female,Private,No
10.0,13363.0,2599.0,Salaried,25.0,Single,2.0,571.0,4.0,0.51,11637.0,34522.0,10431.0,36.0,Business,Semiurban,Graduate,Male,Private,No
11.0,18023.0,4033.0,Salaried,41.0,Married,2.0,765.0,0.0,0.55,10363.0,29180.0,1901.0,72.0,Business,Semiurban,Not Graduate,Female,Private,Yes
12.0,10322.0,8428.0,Salaried,34.0,Married,2.0,656.0,2.0,0.16,7301.0,49791.0,9599.0,24.0,,Semiurban,Not Graduate,Male,Government,Yes
13.0,3685.0,1304.0,Contract,24.0,Married,2.0,658.0,3.0,0.37,5630.0,22119.0,28781.0,48.0,Business,,Graduate,Male,Government,No
14.0,2769.0,7368.0,Self-employed,43.0,Single,2.0,665.0,3.0,0.24,17558.0,,,60.0,Car,Urban,Graduate,Male,Private,
15.0,,,Self-employed,40.0,Married,0.0,650.0,2.0,0.12,6994.0,,21304.0,72.0,Home,Rural,Graduate,Female,,No
16.0,7311.0,1301.0,Salaried,,Married,2.0,730.0,0.0,0.43,17699.0,39164.0,12545.0,36.0,Personal,Urban,Graduate,Male,Government,No
17.0,7051.0,2541.0,Salaried,49.0,Married,0.0,649.0,3.0,0.53,18098.0,32541.0,4606.0,48.0,Home,Urban,Graduate,Female,Private,No
18.0,8420.0,2051.0,Salaried,28.0,Single,0.0,713.0,3.0,0.18,7416.0,4465.0,,72.0,Business,Semiurban,Graduate,Female,Private,Yes
19.0,19568.0,6809.0,Self-employed,39.0,Single,0.0,617.0,0.0,0.51,19405.0,3711.0,22410.0,48.0,Home,Rural,Graduate,Female,Private,
20.0,8396.0,8633.0,Contract,59.0,,,585.0,1.0,0.53,14966.0,26198.0,17753.0,72.0,Education,Rural,Graduate,Female,MNC,No
21.0,10666.0,8996.0,Salaried,48.0,Married,2.0,729.0,0.0,0.56,10703.0,23488.0,3646.0,48.0,Home,Semiurban,Graduate,Female,Self,No
22.0,4747.0,74.0,Salaried,47.0,Married,0.0,730.0,1.0,0.23,5893.0,39515.0,18920.0,84.0,Personal,Semiurban,Graduate,Female,Private,Yes
23.0,2189.0,6981.0,Self-employed,24.0,Married,2.0,759.0,0.0,0.55,11621.0,24608.0,20071.0,12.0,Education,Rural,Not Graduate,Male,Self,No
24.0,5005.0,5475.0,Contract,35.0,Single,3.0,727.0,1.0,0.26,18164.0,,24561.0,48.0,Home,Urban,Graduate,Female,,No
25.0,3899.0,8232.0,Self-employed,55.0,Single,0.0,757.0,2.0,0.38,8215.0,2919.0,36462.0,84.0,Personal,Rural,Graduate,Female,Private,No
26.0,3267.0,7184.0,Contract,57.0,Married,0.0,718.0,2.0,0.13,10172.0,,38205.0,,Car,Semiurban,Not Graduate,Male,Government,Yes
27.0,19912.0,5796.0,Salaried,21.0,Single,2.0,695.0,2.0,0.12,19932.0,47241.0,27029.0,24.0,Personal,Urban,Graduate,Female,Self,Yes
28.0,13394.0,7141.0,Salaried,23.0,Married,0.0,571.0,3.0,0.46,1822.0,21599.0,8478.0,12.0,Home,Urban,Not Graduate,Male,Private,No
